Step,V0,V1,Epsilon,Mean,Mean+RMS,Mean-RMS,V0_added,V1_added
0,0.001,-400.0,0.34894943836762093,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,10.257384615384616,-400.0,0.3238065771707648,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,20.513769230769235,-400.0,0.2987442827466612,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,30.77015384615385,-400.0,0.2737843938267629,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,41.026538461538465,-400.0,0.24895169735114983,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,51.28292307692308,-400.0,0.22427421191051125,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,61.539307692307695,-400.0,0.19978351847848314,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,71.79569230769232,-400.0,0.17551519356218329,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,82.05207692307694,-400.0,0.15150947680750534,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,92.30846153846156,-400.0,0.12781250561674523,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,102.56484615384618,-400.0,0.10447903308474335,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,112.8212307692308,-400.0,0.08157952612192626,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,123.0776153846154,-400.0,0.05922290228201324,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
0,133.33400000000003,-400.0,0.0376556108974719,0.08437758084249172,0.14994716757961074,0.01880799410537269,"[297.43615384615384, 164.10315384615387, 0.001]","[-102.563358974359, -235.89702564102566, -400.0]"
