Energy,Exact,Mix8Av,Kav,Tav,H30av,H60av,H90av,MixBasis0,KBasis0,TBasis0,H30Basis0,H60Basis0,H90Basis0
3,1918.84323264407,1.07255456084695E-05,3.41519878400615E-05,1.94805174849153E-05,1.73781413123674E-05,1.48055058445775E-05,1.13569127302574E-05,1918.85155277435,1918.85857558598,1918.85741212739,1918.84799801848,1918.8513942766,1918.85231837632
3.33333333333333,1920.99714864099,1.37136844710731E-05,1.99600433295296E-05,1.81990171809226E-05,1.98391803443639E-05,1.88210035571694E-05,1.28895905270096E-05,1921.00506535077,1921.03399841354,1921.01008521705,1920.99897356313,1921.00462352805,1921.00528212958
3.66666666666667,1906.42317918243,1.26001287502182E-05,1.89616465353076E-05,1.36654405707257E-05,2.58889661600372E-05,1.86740698052963E-05,1.35354533097518E-05,1906.43197512343,1906.50303138288,1906.43419629087,1906.42449129893,1906.43474200517,1906.42952823651
4,1878.53404297695,1.07382570671291E-05,2.51661031844948E-05,1.19173217529774E-05,2.12540665537856E-05,1.70264398081477E-05,1.12674296082353E-05,1878.54414584722,1878.70785157095,1878.5427472996,1878.5357785057,1878.56938346667,1878.53576685765
4.33333333333333,1840.43197049285,8.95716388251625E-06,2.10291151333315E-05,1.16649623795215E-05,2.05814302941632E-05,1.28555729224549E-05,9.51594656741816E-06,1840.43630320823,1840.49277238498,1840.43810310004,1840.43295230659,1840.44217170175,1840.43304267882
4.66666666666667,1794.80339273042,9.79434376210395E-06,3.29268353311533E-05,1.21268778488385E-05,2.20271019722475E-05,1.52966761691162E-05,9.0640806074122E-06,1794.80034634473,1794.65389754683,1794.80686970868,1794.80128836534,1794.80483935853,1794.80847215407
5,1744.04923110936,1.18035091869407E-05,4.07799988233609E-05,1.31746205469831E-05,2.46608164543758E-05,1.59375383817009E-05,1.30964198011613E-05,1744.04212169188,1743.91923543657,1744.05032500998,1744.0417429206,1744.04806981193,1744.05793441497
5.33333333333333,1689.99796291774,1.20510114196518E-05,1.82302747849494E-05,1.52253888438719E-05,2.57119230285332E-05,1.73003049523145E-05,1.55188826050557E-05,1689.98567000342,1689.87813463911,1689.99792797056,1689.98270026827,1689.99186600375,1690.00835653407
5.66666666666667,1634.45712404097,1.41473668532179E-05,2.70796290348448E-05,1.83192740004454E-05,2.38991524387532E-05,1.99072690806738E-05,1.67075262591912E-05,1634.43621574491,1634.33322548109,1634.45887563296,1634.42979621085,1634.44068602321,1634.46451066374
6,1578.62932546773,1.75846824670298E-05,2.80475290201167E-05,2.52428689998914E-05,2.28709919829069E-05,2.49353616187149E-05,1.84031020821621E-05,1578.58115318989,1578.4802608954,1578.63027727908,1578.5592496808,1578.57601622671,1578.61573510736
