Theta Mix4Av Mix6Av Mix8Av Mix10Av Kav Tav MedianMix4 95%Mix4 MedianMix6 95%Mix6 MedianMix8 95%Mix8 MedianMix10 95%Mix10
0 0.03766540583366 0.000641509672106 2.71561626308592E-05 2.17678670995196E-06 2.70048879819224E-05 2.42562674094846E-05 0.006848553163333 0.190535789383079 0.000313643233968 0.002396891873668 1.01949405594181E-05 0.000116149919239 1.10409570523406E-06 7.87706538978866E-06
2.02247191011236 0.037851454280822 0.000644205823301 2.72894624202372E-05 2.19135375220672E-06 2.70731654009677E-05 2.42992008931112E-05 0.006857330749094 0.191742867393453 0.000315362750274 0.002397746093036 1.02639009560464E-05 0.000116611628096 1.11258241156482E-06 7.93515470010395E-06
4.04494382022472 0.038418095126647 0.000652393565995 2.76988448199824E-05 2.2358106520768E-06 2.72794972533824E-05 2.44277215319209E-05 0.006947404382546 0.195416070044121 0.000321912021979 0.002400074811434 1.04507602500681E-05 0.000118017999679 1.136127733297E-06 8.11250162388973E-06
6.06741573033708 0.039390890002603 0.000666463401396 2.84045338855776E-05 2.31252007287591E-06 2.76362010456487E-05 2.46428143651524E-05 0.006962684133823 0.201715709566232 0.000329629763708 0.002446246822344 1.07188121607028E-05 0.000120686615253 1.177640951071E-06 8.41867281947631E-06
8.08988764044944 0.040815315220051 0.000686921896769 2.94429123903545E-05 2.42572273773946E-06 2.81551540766671E-05 2.49455052961188E-05 0.006992543711521 0.208345167031084 0.000342788023782 0.002537344775887 1.1079583422543E-05 0.000124992321827 1.22227078401574E-06 8.87076919946549E-06
10.1123595505618 0.042761645285352 0.000714652147684 3.08774100032699E-05 2.58250704305425E-06 2.88917644331476E-05 2.53427272148696E-05 0.007101691041712 0.217001557499062 0.000361174333376 0.002588644807981 1.16382416029543E-05 0.00013093220485 1.28787030571129E-06 9.52078953503996E-06
12.1348314606742 0.045331839176309 0.000751189147827 3.28058457611775E-05 2.79255134318649E-06 2.98758854527561E-05 2.58302624013663E-05 0.007468970611859 0.228247790245423 0.000389371017618 0.002659785493736 1.23646760275191E-05 0.000139412597765 1.34776680223975E-06 1.04761363723777E-05
14.1573033707865 0.048680113718625 0.000798301249395 3.53565414741882E-05 3.07109881205874E-06 3.1264317471476E-05 2.64516674776283E-05 0.007915800042537 0.247069670477895 0.000423533518384 0.002847221613669 1.32760893084252E-05 0.000150790258091 1.51128701394655E-06 1.17673241050806E-05
16.1797752808989 0.053033814498718 0.000858605933413 3.87396795702653E-05 3.44079998791445E-06 3.31699002054137E-05 2.71932615030481E-05 0.008431560614321 0.265800073660048 0.000465608523693 0.00308953841653 1.44047698167685E-05 0.00016600066953 1.69309419667428E-06 1.34260280898056E-05
18.2022471910112 0.058729252741051 0.000937089998881 4.32969883804096E-05 3.93667645522611E-06 3.59237724075135E-05 2.80615319156509E-05 0.008796848722206 0.286861188403331 0.000537069286866 0.003344972142746 1.59151776948177E-05 0.000186632961059 1.90780042664066E-06 1.52290258183453E-05
20.2247191011236 0.066295907262861 0.001041354853591 4.95632989076316E-05 4.614233606966E-06 4.06426712489104E-05 2.93559043122302E-05 0.009516787475899 0.314678900908804 0.000635536135117 0.00354868536629 1.75806382996598E-05 0.000215329199081 2.19262727330462E-06 1.76835821722585E-05
22.247191011236 0.076614338919354 0.00118237950659 5.8525204002383E-05 5.56833293076997E-06 4.87649944738179E-05 3.25473852451209E-05 0.010479080123927 0.370913948623851 0.000744193921449 0.003983103417235 2.03911112037681E-05 0.000256732665763 2.63904485400547E-06 2.17776269353745E-05
24.2696629213483 0.091193200156031 0.001383120474985 7.22603458513182E-05 6.97345734991115E-06 6.17761887916225E-05 3.85240444208146E-05 0.012247176489175 0.419022971259687 0.00087319214 0.004635354268247 2.42838424583292E-05 0.000336571552542 3.27093786664868E-06 2.6538248234967E-05
26.2921348314607 0.112778562189417 0.00168909050685 9.51483224956476E-05 9.18808036773876E-06 8.45884479470555E-05 5.12796997394602E-05 0.01400242851164 0.493724885203175 0.001127977389951 0.005433477273984 3.12236046595233E-05 0.000451480426771 4.26955783382586E-06 3.6983686797349E-05
28.314606741573 0.146176510933214 0.002204578004916 0.000140280663903 1.31823674186812E-05 0.000133037042342 7.74061779368567E-05 0.018779623141084 0.615227329034431 0.001332504189284 0.007358353055217 4.38202158660353E-05 0.000668561421052 6.18108697739234E-06 5.33612738323564E-05
