Theta Exact Mix4Av Mix6Av Mix8Av Mix10Av Kav Tav
0 3064.28165641582 3049.1523232022 3065.20113297891 3064.19372463963 3064.28429863422 3064.25800893384 3064.28044094531
2.02247191011236 3024.11454233367 3009.09533517714 3025.02568097809 3024.02757654563 3024.11716666245 3024.09115820386 3024.11333121174
4.04494382022472 2906.37550898403 2891.68309440116 2907.26198657817 2906.29138524402 2906.37808019102 2906.35290072756 2906.37431507571
6.06741573033708 2719.06942030089 2704.90983978187 2719.91594878535 2718.98985180917 2719.07190475554 2719.04805911439 2719.06826786421
8.08988764044944 2474.63470389222 2461.19672864992 2475.42764557541 2474.56114816283 2474.63707050676 2474.61499601645 2474.63363268523
10.1123595505618 2188.71305517736 2176.16219317385 2189.44093289319 2188.64664297349 2188.71527617734 2188.69532359777 2188.71212004432
12.1348314606742 1878.65511231976 1867.12851555745 1879.30898556289 1878.59660359598 1878.65716381001 1878.63958493886 1878.65437774377
14.1573033707865 1561.94657226407 1551.54907280131 1562.52026180803 1561.89634145822 1561.94843458311 1561.93337690403 1561.9461023919
16.1797752808989 1254.73874343426 1245.54021397218 1255.2288993034 1254.6967934222 1254.7404013158 1254.72790927733 1254.73858904721
18.2022471910112 970.64104223163 962.675228736916 971.047061954456 970.607043476864 970.642484810975 970.632506705175 970.641226878117
20.2247191011236 719.886386220559 713.15129513988 720.210200860071 719.859735444321 719.887606935078 719.880005966994 719.886894105238
22.247191011236 508.922672224437 503.38251519852 509.168425824091 508.902563519931 508.923668657646 508.918236697588 508.923440384886
24.2696629213483 340.424469151503 336.013078277655 340.598122361454 340.409969978053 340.425242861913 340.421715530805 340.425385942802
26.2921348314607 213.66779418568 210.293327755246 213.776684739943 213.65791908295 213.66835054572 213.666422628248 213.668705204311
28.314606741573 125.17410898019 122.724779838422 125.226500560921 125.16788500206 125.17445703117 125.173797638568 125.174830426426
30.3370786516854 69.5109409063229 67.8614262982308 69.5155882596209 69.5074604629728 69.5110932164355 69.5113605165947 69.5112791856531
32.3595505617978 40.1358518835615 39.153993290303 40.1016045711792 40.134310625948 40.1358243808753 40.1366799793127 40.135627174123
34.3820224719101 30.1849813903591 29.7383619099718 30.1204421115327 30.1847006969817 30.1847931345528 30.1859162631297 30.1840521299873
36.4044943820225 33.1322881245098 33.0942869602078 33.0455349469217 33.1327234158744 33.131960980985 33.133062518693 33.1305730278773
38.4269662921348 43.2753583575123 43.5303269759126 43.1737341637548 43.2760956956039 43.2749165455185 43.2757525955752 43.2728527253303
40.4494382022472 56.0330326116284 56.4803115168767 55.9230001104628 56.0337767503889 56.0325021126251 56.0328864739621 56.0298163283644
42.4719101123596 68.0650766480951 68.6216686249321 67.9521336978132 68.0656338827706 68.0644844792938 68.0642989850596 68.0613122964735
44.4943820224719 77.2422205651644 77.8440463640929 77.1308683551287 77.2424794545524 77.2415939429866 77.2407954028308 77.2381413689451
46.5168539325843 82.505263275056 83.1070383979354 82.3990189571554 82.5051757056882 82.5046287110131 82.5032511750139 82.5011519330375
48.5393258426966 83.6550946963668 84.2289704626017 83.5565400569504 83.6546589727984 83.6544770809817 83.6526283874075 83.6512553981478
50.561797752809 81.1128447930827 81.6460436470532 81.0237031469623 81.1120916247062 81.1122665300802 81.1101186008302 81.1095716388208
52.5842696629214 75.6827821445837 76.1745188219854 75.6040164605891 75.6817636844366 75.6822623968555 75.6800354443865 75.6803276999195
54.6067415730337 68.341931656682 68.7999439101681 68.2738577005736 68.3407132200523 68.3414857577155 68.3394273631172 68.340479395535
56.6292134831461 60.071272375207 60.508286296924 60.0136812002211 60.0699261676182 60.0709114459412 60.0692722317938 60.0709163021332
58.6516853932584 51.7350102380611 52.1654378558975 51.687294610479 51.7336103504276 51.734741031374 51.7337492548776 51.7357441088834
60.6741573033708 44.0075526873424 44.4446682816232 43.9688320655238 44.0061707309494 44.007377662878 44.0072153851418 44.0092700852121
62.6966292134832 37.342804189086 37.7965775506518 37.3120428284922 37.3415051806283 37.3427218022239 37.3435052794964 37.3453094192236
64.7191011235955 31.9773069951143 32.4529946209344 31.9534198229771 31.9761453888406 31.9773121676477 31.9790787430035 31.9803355011954
66.7415730337079 27.9574047288404 28.4549218692217 27.9393460107476 27.9564207594334 27.9574894569308 27.9601925451733 27.9606506603947
68.7640449438202 25.1807028232327 25.6947277364095 25.1675334715714 25.1799195148054 25.180856871354 25.1843697132378 25.1838506177496
70.7865168539326 23.443258231312 23.963960864526 23.4341889404391 23.4426795117394 23.4434698593909 23.4475976960746 23.4460146936191
72.8089887640449 22.4857442027832 22.9999887552491 22.4801533944811 22.4853545293022 22.486000877141 22.4905002000631 22.487867593989
74.8314606741573 22.033915008967 22.5267612772757 22.0313426893863 22.0336807734393 22.034204055015 22.0388067530654 22.0352380751367
76.8539325842697 21.8307069947761 22.2870288890054 21.8308278332139 21.8305797653297 21.8310161594539 21.8354558232415 21.831151606897
78.876404494382 21.6590101330018 22.0650594563321 21.6615910969587 21.6589315434863 21.6593280362866 21.6633654587826 21.6585921790877
80.8988764044944 21.3553889559736 21.7001554659841 21.3602383933341 21.3552968192663 21.3557054221417 21.3591504794556 21.3542132097194
82.9213483146068 20.8157936417651 21.0920449306148 20.8227095465215 20.8156286768739 20.8160999113694 20.8188274921533 20.8140394113587
84.9438202247191 19.994645530557 20.1995686117808 20.0033707006612 19.9943579863526 19.9949343625386 19.9968927715923 19.9925448542293
86.9662921348315 18.8987331410052 19.034140297949 18.908923983749 18.8982885874708 18.8989988205518 18.9002100109 18.8965440473928
88.9887640449438 17.5772627122623 17.6493641102937 17.5884766470869 17.5766463545801 17.5775009838391 17.5780529522197 17.5752405324718
91.0112359550562 16.1092995868787 16.1280818969297 16.12100353175 16.1085186253767 16.1095075334269 16.1095401237092 16.1076694493141
93.0337078651685 14.5897910253046 14.5680728824793 14.601390623784 14.5888748105703 14.5899669142197 14.5896530006631 14.5887244740739
