Ecms,Cross_sig20_0,Cross_sig20_1,Cross_sig20_2,Cross_sig20_3,Cross_sig20_4,Cross_sig20_5,Cross_sig20_6,Cross_sig20_7,Cross_sig20_8,Cross_sig20_9,Cross_sig20_10,Cross_sig21_0,Cross_sig21_1,Cross_sig21_2,Cross_sig21_3,Cross_sig21_4,Cross_sig21_5,Cross_sig21_6,Cross_sig21_7,Cross_sig21_8,Cross_sig21_9,Cross_sig21_10,Cross_sig22_0,Cross_sig22_1,Cross_sig22_2,Cross_sig22_3,Cross_sig22_4,Cross_sig22_5,Cross_sig22_6,Cross_sig22_7,Cross_sig22_8,Cross_sig22_9,Cross_sig22_10,Cross_sig23_0,Cross_sig23_1,Cross_sig23_2,Cross_sig23_3,Cross_sig23_4,Cross_sig23_5,Cross_sig23_6,Cross_sig23_7,Cross_sig23_8,Cross_sig23_9,Cross_sig23_10,Cross_sig24_0,Cross_sig24_1,Cross_sig24_2,Cross_sig24_3,Cross_sig24_4,Cross_sig24_5,Cross_sig24_6,Cross_sig24_7,Cross_sig24_8,Cross_sig24_9,Cross_sig24_10,Cross_sig25_0,Cross_sig25_1,Cross_sig25_2,Cross_sig25_3,Cross_sig25_4,Cross_sig25_5,Cross_sig25_6,Cross_sig25_7,Cross_sig25_8,Cross_sig25_9,Cross_sig25_10,Cross_sig26_0,Cross_sig26_1,Cross_sig26_2,Cross_sig26_3,Cross_sig26_4,Cross_sig26_5,Cross_sig26_6,Cross_sig26_7,Cross_sig26_8,Cross_sig26_9,Cross_sig26_10
0.001,0.004240544289982218,0.04771352977325316,0.0016309682027979555,0.001186317218028421,0.0009952397895034437,0.006339658882128951,0.08286734951922314,0.012328822315343047,0.049739524944078184,0.009369409822080232,0.0038368903933929666,1.7763568394002505e-14,1.1102230246251565e-14,2.220446049250313e-14,4.440892098500626e-14,2.220446049250313e-14,6.661338147750939e-15,1.9984014443252818e-14,2.6645352591003757e-14,6.661338147750939e-15,2.220446049250313e-14,1.3322676295501878e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02648438739475445,0.3607645788552971,0.0007160606475014042,0.0018977902994357088,0.01116168445084842,0.0010040327155640405,0.00034023811919459135,0.006513024711302329,0.00048079537610412615,0.0038971805521015312,0.008550527179148837
0.05,0.2071371258331256,1.7730891982169719,0.08092321600931474,0.05899593753663179,0.04954686437279765,0.30571941768176547,2.5689734431623905,0.571315824249262,1.8324923771468087,0.44268836584173243,0.1879529257328656,2.200735149671118e-09,1.3268075527150813e-09,2.782278851753972e-09,5.622793342041632e-09,2.5874569153927496e-09,9.373590792449704e-10,2.57089904920349e-09,3.1548696988181746e-09,1.0361200786235258e-09,2.9500979437102615e-09,1.7469892199528658e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7681466060099109,1.7893322668506184,0.035412336051095394,0.09174471347509083,0.4517737731397564,0.04797618053304209,0.016615240758581784,0.2712424050268907,0.023358883300677924,0.18114797116679293,0.34002072655047844
1.0,2.8402392135787897,5.786807606900641,1.409577860438771,1.0680124681410539,0.9145866582274991,3.5786015536568034,5.958978312351118,4.637845731392236,5.833512617706189,4.219372918760524,2.678353476709109,1.9154782826547034e-05,1.1889581457147358e-05,2.3999583913525413e-05,4.750269102071769e-05,2.2382255406849794e-05,8.611608974806728e-06,2.2192987723101965e-05,2.7052167870245114e-05,9.447084017288887e-06,2.5398289376088456e-05,1.538196604311537e-05,9.074084150739736e-09,8.868143996920708e-09,8.993642275356706e-09,9.324816474531872e-09,9.334969242047464e-09,9.111204235523473e-09,9.065504347205433e-09,9.086260632784615e-09,8.974477605505626e-09,9.057095518016922e-09,9.170193493446277e-09,8.832934383917745e-13,8.752998326144734e-13,8.752998326144734e-13,8.872902412804251e-13,8.79296635503124e-13,8.79296635503124e-13,8.832934383917745e-13,8.872902412804251e-13,8.832934383917745e-13,8.832934383917745e-13,8.832934383917745e-13,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6264674244370445,1.8771530502453624,0.5828541254176609,1.10720011063201,1.8771741289413555,0.5047799079091497,0.2261059008139199,1.241886526109878,0.2968703609763428,1.5086534400695797,1.3230154230874271
2.0,4.2180473644118734,5.999547674435039,2.4806769860886053,1.9400825566919728,1.6911201744204178,4.904388768252927,5.995523232712809,5.583625693473488,6.009604520626805,5.337280773182552,4.0666494300378115,0.0001638503077172615,0.00010434802976577728,0.00020368520020408454,0.0003962283855152293,0.0001904711879641141,7.739112938720538e-05,0.0001883841919214646,0.00022839518194484043,8.42289507740901e-05,0.00021527087510353482,0.00013300323019382887,5.946218353258814e-07,5.92373827323911e-07,5.931553821447721e-07,5.986788140788235e-07,5.998986289945663e-07,5.963351723536903e-07,5.947083856483459e-07,5.939855216574585e-07,5.93677963678374e-07,5.929408621874188e-07,5.961873665860651e-07,2.2390889142798187e-10,2.2293367152315113e-10,2.2349722073045086e-10,2.247642072461531e-10,2.237690033268791e-10,2.2398882748575488e-10,2.2452439907283406e-10,2.2440449498617454e-10,2.2382895537020886e-10,2.2368507046621744e-10,2.241486996013009e-10,2.2729818027755755e-11,2.2729818027755755e-11,2.2729818027755755e-11,2.2739587990372456e-11,2.2734703009064106e-11,2.2729818027755755e-11,2.2729818027755755e-11,2.2739587990372456e-11,2.2729818027755755e-11,2.2739587990372456e-11,2.2729818027755755e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6217883589525228,1.8224684349966922,0.977753302241235,1.5432018232061901,1.992902739341392,0.654041928637529,0.3324626046932613,1.327334169301944,0.41954410300891976,1.8341347140764976,1.381020959797711
5.0,5.725224432061005,5.799349451266406,4.519282735256638,3.7667392295435564,3.4210197728644753,6.027895185794053,5.66007460980353,6.017434390592399,5.738910483278992,6.020699441056444,5.68356220469917,0.002762556389741544,0.0018184712332924846,0.003407267738131381,0.006512317376949905,0.003197679858990554,0.0013923080791555797,0.0031360155499182696,0.003787099361929336,0.0014975781074433314,0.003596944172070682,0.002275646617362348,7.855341218654388e-05,7.871814759763396e-05,7.851071966236134e-05,7.858834206508902e-05,7.878420339002545e-05,7.876399877959628e-05,7.859215289673926e-05,7.83983365897356e-05,7.866679392964926e-05,7.829177791052189e-05,7.857290486912305e-05,1.488591769849279e-07,1.4860860941823262e-07,1.4890836563807852e-07,1.4922342961298796e-07,1.4897557587545407e-07,1.4889718258359608e-07,1.4879590759520056e-07,1.4883862142767157e-07,1.4888033206261753e-07,1.4880450471821405e-07,1.4893565181139934e-07,6.050554457459612e-08,6.049420164799812e-08,6.050468481788585e-08,6.051722944988569e-08,6.050822154435309e-08,6.049407952346542e-08,6.050621870201667e-08,6.051095713388577e-08,6.049288758802618e-08,6.051295509124088e-08,6.050594025808209e-08,7.248202038567797e-11,7.246470090649382e-11,7.248202038567797e-11,7.249356670513407e-11,7.248202038567797e-11,7.247047406622187e-11,7.247047406622187e-11,7.248202038567797e-11,7.247047406622187e-11,7.249356670513407e-11,7.248202038567797e-11,1.5052799744532122,1.6757772802869044,1.6161425212654246,1.9500136254998761,1.9445794239919794,0.7313839808426286,0.4386251928929594,1.282436870913259,0.5214101174122883,2.007143633385063,1.302028540686353
8.0,6.05625703801358,5.492470287141064,5.60811576772631,4.853821174903853,4.538213546330903,6.140914131136926,5.323918189644211,5.84604951378374,5.390247757002032,5.9311635914908,6.080350138082883,0.011064447366258001,0.007290093401111086,0.013704960393414733,0.026431973513554308,0.012863188481224697,0.005605339673138143,0.012498082187597515,0.015181283874814433,0.006008351509876331,0.014490792199681746,0.009126067699658513,0.0006428898621613222,0.0006445006319775182,0.0006424761256162981,0.0006432606490274217,0.0006452448053062554,0.0006449981704510499,0.000643252542104733,0.000641300651809118,0.0006440514094707694,0.0006402809626138151,0.0006431253668850445,2.5203457800770934e-06,2.516709816546836e-06,2.5197572268709223e-06,2.5293665721903835e-06,2.519785452292922e-06,2.515304660555273e-06,2.522416215899881e-06,2.52628198760263e-06,2.517029852544539e-06,2.5264299292615533e-06,2.5192382340222252e-06,1.7310102924383841e-06,1.730583735870539e-06,1.7309780857566182e-06,1.7314576052918085e-06,1.7311112796569716e-06,1.7305759834052026e-06,1.7310386106750286e-06,1.7312175182304657e-06,1.7305312418613994e-06,1.7312940805425114e-06,1.7310232425238326e-06,4.734077574397588e-09,4.7328594376949695e-09,4.734591385613385e-09,4.7348973630789715e-09,4.7346664366898494e-09,4.733379022070494e-09,4.732951808250618e-09,4.7344528297799116e-09,4.733604175299888e-09,4.735341896378031e-09,4.734654890370393e-09,1.3912231370984638,1.5555139265047613,1.8922620369717889,2.0212517205344565,1.833923572054652,0.6975686837677673,0.4530742055514354,1.1898158912430854,0.5219678373762697,1.9696548470117174,1.1912208942296871
11.0,6.054942607795457,5.2059801135898836,6.217772111079226,5.510528332182751,5.2646932159576645,6.028932241129004,5.039814334833169,5.5859029463714105,5.081216955789636,5.701263003078832,6.113610111872013,0.027019265247965052,0.01762026377474024,0.033763120285799086,0.06631431397644327,0.031652953853564814,0.013479955588380221,0.030443481417186113,0.03733607396531502,0.01443616299802386,0.03579490388148088,0.022210660220089995,0.0022487200690743947,0.0022527126854332558,0.002246070272976297,0.0022538420315743046,0.0022623304523641252,0.0022579982077028937,0.0022500087869281593,0.0022420368120119605,0.0022524043588125764,0.002237639714089301,0.0022511258078239393,1.3834322283745593e-05,1.3814371514708768e-05,1.3811238680716542e-05,1.3887214294516781e-05,1.382196023236304e-05,1.380273846018909e-05,1.3868600755806426e-05,1.3878480872531185e-05,1.3805205442807278e-05,1.387829096444193e-05,1.3823787119005004e-05,1.2708712596509741e-05,1.2704708059807501e-05,1.270840534584039e-05,1.2712985650864539e-05,1.2709651704856384e-05,1.2704595617307746e-05,1.27090131547547e-05,1.2710701160045801e-05,1.270417891863218e-05,1.2711430937173418e-05,1.2708812538342329e-05,5.6558375760573654e-08,5.653943979666565e-08,5.656638890627619e-08,5.657118062885047e-08,5.6567526218742614e-08,5.654761459084057e-08,5.654096968399358e-08,5.6564206651898985e-08,5.655102075508012e-08,5.657801604996848e-08,5.656726642655485e-08,1.289863916497335,1.452382417845668,2.0186909045945156,2.008944226704461,1.724883999321282,0.6452362105704923,0.4428498338631748,1.0987126961250597,0.4996822886025929,1.8952161809806451,1.0872429184696997
14.0,5.930606909552539,4.947695252538512,6.556594575971635,5.89916231851501,5.730734036158838,5.852849576273403,4.801559423891506,5.3178638873915745,4.81586740205634,5.442228141172624,6.008930312169009,0.05139724205803997,0.03303773257482767,0.06490783968454039,0.13016561508449875,0.06075352610872997,0.025055915861549316,0.05779634568000791,0.07167828582776092,0.02683207965221257,0.06903026335245643,0.04203778639069622,0.005294177289282054,0.005295479764319211,0.005283009030041086,0.005322293990499105,0.005346191378330367,0.005321677877912823,0.005297054037015858,0.005275937723274282,0.0052998425420298645,0.0052628987645491065,0.0053061987757274665,4.4719354095779096e-05,4.4623941717780724e-05,4.461486350360033e-05,4.4948842568004466e-05,4.4664867164811994e-05,4.45872950480819e-05,4.4875697430057926e-05,4.4910350150750844e-05,4.459058574379782e-05,4.489668510965217e-05,4.467743817704317e-05,4.974341921659686e-05,4.97245701742699e-05,4.974165824922494e-05,4.976381328569701e-05,4.974774476984578e-05,4.972387892010488e-05,4.974536905688609e-05,4.975294256093221e-05,4.972173468686947e-05,4.975617883662409e-05,4.9743695032411495e-05,3.093612761517761e-07,3.0923384519709884e-07,3.094170275552699e-07,3.094483700394335e-07,3.0942364936947797e-07,3.092881302180217e-07,3.0924211813498914e-07,3.0940067796692006e-07,3.093117366681497e-07,3.094952827353836e-07,3.0942152484669805e-07,1.1981332042578647,1.3603361274411254,2.069933335862033,1.9657965954194934,1.622295135346615,0.5897419651641371,0.42318763307447593,1.012914332372552,0.4702944624484795,1.8112819120294308,0.9915283498534309
17.0,5.757217675317034,4.714774693971269,6.731490593498773,6.113215313965078,6.0179922315810925,5.663064604143263,4.601351720359499,5.062392972406661,4.589413838025042,5.185522655702975,5.848705553564504,0.08417922269910116,0.05325462906044409,0.10750946536984607,0.22009395844893032,0.1004582028199641,0.03998788048950708,0.09445904900219348,0.1185377414087907,0.042822584685562326,0.11471828900391445,0.06847482185588394,0.009981853783087136,0.009959539300534281,0.009947906458202649,0.010079380033979124,0.01013149268975333,0.010045782412439586,0.009986707904084291,0.009943326150922971,0.00998234581063473,0.009912496370350965,0.010021340053754102,0.00010725563454583309,0.0001069276459375601,0.00010691187077238595,0.00010798053207183855,0.00010707931952325112,0.0001068563340211881,0.00010777405122741612,0.00010785910683797084,0.00010684295987539727,0.0001077731237573154,0.00010713594304512242,0.00013642839468319679,0.00013637263649535214,0.0001364190730299697,0.00013648890133177716,0.00013643994450340813,0.00013637047247794243,0.00013643968545773433,0.00013645711781640202,0.00013636169467945436,0.00013646348472029501,0.00013642764065213697,1.0900729980889423e-06,1.0895828799206697e-06,1.0903226814740208e-06,1.090418250360159e-06,1.0903273173212824e-06,1.089775310880725e-06,1.08957438182955e-06,1.090224364563852e-06,1.0898824376326388e-06,1.0906174128244572e-06,1.090310702167585e-06,1.1134747845741466,1.275884479242189,2.078494878669887,1.9088773913473194,1.525657932959657,0.5349237037324786,0.39916969894074317,0.932236771592851,0.43836302203439725,1.7252918936573214,0.9028566410557048
20.0,5.56616253362095,4.503600386218205,6.80263377551639,6.210141143800741,6.179855708335049,5.478756713467819,4.432827742236713,4.825144802052154,4.396626192121499,4.941690708190894,5.668779562859643,0.12484928465588574,0.07771544379681528,0.1612842542321058,0.3365790709959704,0.15045394929678269,0.057758616876291136,0.1397346112344766,0.17747429142394022,0.061836671380166575,0.17267425732356845,0.10101563567795013,0.016376803790237204,0.01628376875479365,0.016293490488731077,0.016636469040917756,0.016732478171245457,0.016503921355703888,0.01638319778277042,0.01630810121800863,0.016352827349840116,0.01624541210759123,0.016478007379302273,0.000213230881140003,0.00021220228488783022,0.00021249679942059174,0.00021519378486756224,0.00021292717099097302,0.0002121016679370591,0.00021446180135775705,0.00021467420561194217,0.00021206765440107134,0.00021462842662334225,0.00021301647561067227,0.0002992038538924824,0.0002991735055992706,0.00029934167513534504,0.0002992215124648645,0.00029929766679792635,0.0002991515383952148,0.0002990431392677628,0.0002991444887321393,0.00029919410694301263,0.00029922561055872876,0.00029924268216152683,2.9084280810387497e-06,2.90635954058871e-06,2.909195628397754e-06,2.909832933273293e-06,2.909388319149997e-06,2.9073110092703303e-06,2.9066544797728966e-06,2.909082924773543e-06,2.907620491043872e-06,2.9105148300345718e-06,2.909393878702815e-06,1.034312776629236,1.1970550283390162,2.0608420242032817,1.8452684316619479,1.4340617422696194,0.48200498326300867,0.37303252449511204,0.8561922275923752,0.40560905744139486,1.6399400799751391,0.820163687666779
