Ecms,Cross_sig20_1,Cross_sig20_2,Cross_sig20_3,Cross_sig20_4,Cross_sig20_5,Cross_sig20_6,Cross_sig20_7,Cross_sig20_8,Cross_sig20_9,Cross_sig20_10,Cross_sig21_1,Cross_sig21_2,Cross_sig21_3,Cross_sig21_4,Cross_sig21_5,Cross_sig21_6,Cross_sig21_7,Cross_sig21_8,Cross_sig21_9,Cross_sig21_10,Cross_sig22_1,Cross_sig22_2,Cross_sig22_3,Cross_sig22_4,Cross_sig22_5,Cross_sig22_6,Cross_sig22_7,Cross_sig22_8,Cross_sig22_9,Cross_sig22_10,Cross_sig23_1,Cross_sig23_2,Cross_sig23_3,Cross_sig23_4,Cross_sig23_5,Cross_sig23_6,Cross_sig23_7,Cross_sig23_8,Cross_sig23_9,Cross_sig23_10,Cross_sig24_1,Cross_sig24_2,Cross_sig24_3,Cross_sig24_4,Cross_sig24_5,Cross_sig24_6,Cross_sig24_7,Cross_sig24_8,Cross_sig24_9,Cross_sig24_10,Cross_sig25_1,Cross_sig25_2,Cross_sig25_3,Cross_sig25_4,Cross_sig25_5,Cross_sig25_6,Cross_sig25_7,Cross_sig25_8,Cross_sig25_9,Cross_sig25_10,Cross_sig26_1,Cross_sig26_2,Cross_sig26_3,Cross_sig26_4,Cross_sig26_5,Cross_sig26_6,Cross_sig26_7,Cross_sig26_8,Cross_sig26_9,Cross_sig26_10
0.5,5.2243760294183,0.7561125699299329,0.5620976072109185,0.47661141270305674,2.2968468983537234,5.64491191352284,3.3947941697107744,5.296123369408093,2.9260732533033487,1.5811077770429014,1.4021316419032814e-06,2.888389203370423e-06,5.779252640891741e-06,2.689361724428352e-06,1.0012205864384782e-06,2.670251730840789e-06,3.2662995019805408e-06,1.103614861719393e-06,3.0598049982621944e-06,1.8304437654492745e-06,1.1532064192465441e-10,1.2175549457538182e-10,1.3594947390060952e-10,1.3560441658455602e-10,1.2584955300098954e-10,1.2453149622615456e-10,1.262350224351394e-10,1.2026646345475456e-10,1.2543921457108809e-10,1.2926282266789713e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9003603653683045,0.32161659259525033,0.7014722735636081,1.62622179909147,0.3385973714466144,0.1363762408970972,1.0574631612339331,0.1845178990529841,1.0944767314269201,1.1642841610202375
1.0,5.78678060961932,1.409563265651042,1.068003931621949,0.9145806084547896,3.5785592852028945,5.958964850742317,4.637804008784112,5.8334949698062255,4.2193325600551,2.678322466152412,1.1889507391948939e-05,2.3999376888017565e-05,4.750238295603282e-05,2.2380951083533773e-05,8.610506896378212e-06,2.2193513664614528e-05,2.705475699471549e-05,9.447054600819627e-06,2.5400808381093043e-05,1.5381052231866477e-05,8.868274559148404e-09,8.993555233871575e-09,9.32470456405099e-09,9.334975459296402e-09,9.111344123624576e-09,9.065569628319281e-09,9.086294827653774e-09,8.97452734349713e-09,9.057020911029667e-09,9.170168624450525e-09,8.752998326144734e-13,8.752998326144734e-13,8.872902412804251e-13,8.79296635503124e-13,8.79296635503124e-13,8.832934383917745e-13,8.872902412804251e-13,8.832934383917745e-13,8.832934383917745e-13,8.832934383917745e-13,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.877163349452752,0.5828480764126209,1.1071875407510738,1.877163828526525,0.5047848873402065,0.22610753195796285,1.2419002799624184,0.2968727697846756,1.5086386008826254,1.3230296489800923
5.0,5.799458516376269,4.51914813394224,3.7666508598496553,3.4209422652132115,6.027867896120583,5.660152169268906,6.0174325653031975,5.738968500419933,6.020682650738877,5.683492311297671,0.001818467714220784,0.003407260673218282,0.006512319252285348,0.0031976942389255747,0.0013923129965442982,0.0031360298034877054,0.0037871035460712577,0.0014975807504580274,0.003596953278723891,0.002275645513469815,7.871767702338772e-05,7.851059353303214e-05,7.858796523141365e-05,7.878354517298902e-05,7.87638820538561e-05,7.859206364813076e-05,7.839830403622017e-05,7.866676288692531e-05,7.829165062478438e-05,7.857271380995456e-05,1.485208196427834e-07,1.4867611142221904e-07,1.4909946477459357e-07,1.4866415698477908e-07,1.4844608742237142e-07,1.4875688680859867e-07,1.4895005229220715e-07,1.4853996432862004e-07,1.4896877331693759e-07,1.4863117936414483e-07,6.049327350154954e-08,6.050373713151203e-08,6.051746392898849e-08,6.050755230191385e-08,6.049314649203552e-08,6.050639456134377e-08,6.051110368332502e-08,6.049179335221311e-08,6.051298928611004e-08,6.05053589453064e-08,7.246470090649382e-11,7.248202038567797e-11,7.249356670513407e-11,7.248202038567797e-11,7.247047406622187e-11,7.246470090649382e-11,7.248202038567797e-11,7.247047406622187e-11,7.249356670513407e-11,7.248202038567797e-11,1.6758090961430714,1.6161104131782666,1.9499970169782417,1.9445971070969592,0.7314018420955897,0.4386344520720291,1.2824681359660817,0.521421605966216,2.0071438402332076,1.3020601766772195
12.0,5.117007058988046,6.3540913097777665,5.66412473304864,5.444067259398605,5.973928695683834,4.955877056666576,5.49601785442681,4.988250278342773,5.615989167821333,6.0885365491332895,0.02220144773874555,0.04287868482486301,0.08479523495486863,0.04017764252853162,0.01693891465258668,0.038505201038321335,0.047394542666439055,0.01813996774215232,0.04550487597167585,0.02806726566517037,0.0030946248343859395,0.003085816284529308,0.003100042267793146,0.0031124946789806707,0.0031041536669218495,0.0030920306193866764,0.003080605043416451,0.0030949545820901925,0.003074098040978246,0.003094725167929635,2.1330895641824554e-05,2.1326230201790253e-05,2.145706154754734e-05,2.1344415738866473e-05,2.131023385754105e-05,2.1424053555207934e-05,2.1441393105003925e-05,2.13150725949518e-05,2.1442240255353795e-05,2.1347099599999808e-05,2.1086227460553886e-05,2.10928197184046e-05,2.1101906027887196e-05,2.1095262951575933e-05,2.1085989806213234e-05,2.1094752441719322e-05,2.109772964242751e-05,2.108511591725204e-05,2.109895915314297e-05,2.109380944981254e-05,1.0620637747038586e-07,1.0626298907467913e-07,1.0627220881076482e-07,1.0626496926846585e-07,1.0622340251842388e-07,1.0620902735070104e-07,1.0625748148029857e-07,1.0623030721745863e-07,1.0628641655685556e-07,1.0626441504513195e-07,1.420733173101108,2.042016590967039,1.9968322028860719,1.6900201410437399,0.6268266326008156,0.43701101171824863,1.0695549147425591,0.4903656591845653,1.8677974038188028,1.05451581437889
15.0,4.8675475977973,6.6294278942313305,5.986429105113741,5.8431627520028755,5.789951259222449,4.7311364752427245,5.2310150614428,4.736489950983063,5.355783576455505,5.959467866139911,0.039267137330161184,0.07783865335070361,0.15719083699198722,0.0728160170112635,0.029684019078659585,0.06900785787982144,0.08591629701439452,0.031788637243570506,0.08287346247324745,0.05013520073270161,0.00666567756578651,0.006652216637032193,0.006713073725119756,0.006744759833500424,0.006706104222142351,0.006672371223059859,0.006644914607202956,0.00667409503027061,0.006627197915306304,0.006687388074154477,6.127903220853881e-05,6.133043772438285e-05,6.182173563473725e-05,6.139921541992166e-05,6.122767083738268e-05,6.166636769622258e-05,6.172102477508545e-05,6.1241956358149e-05,6.174475174747229e-05,6.140381348584967e-05,7.185762087447145e-05,7.188363248644691e-05,7.186293113736753e-05,7.187685466769622e-05,7.185359288985893e-05,7.183624503159791e-05,7.185138840037908e-05,7.186003749426462e-05,7.186359210953341e-05,7.186823158633615e-05,4.891347913371646e-07,4.894464091798056e-07,4.894882761341535e-07,4.894509295638727e-07,4.892209615192655e-07,4.891371871984518e-07,4.894067764382726e-07,4.892620548702098e-07,4.895691638751032e-07,4.894456933079994e-07,1.3315179811644025,2.076513604514316,1.9479299032420543,1.5895285813224942,0.571329912243939,0.41553747836272636,0.9855208465121494,0.4598343386423558,1.7827171020281027,0.9612903109272706
25.0,4.191592882402356,6.782863162881725,6.2061842103222045,6.264520569832084,5.2029139402900535,4.209475262980314,4.472433049147602,4.138495642651609,4.572336742341475,5.368126556684151,0.126072109442128,0.2736387091469217,0.586863518373868,0.25459579076764216,0.09215756914258355,0.2313306046239072,0.2997612684834938,0.09852062290707675,0.29454564955229134,0.16685896730881833,0.03035998743501578,0.030509667335290036,0.031710059654195266,0.03191545335637613,0.031098913103587478,0.030787603862901136,0.030644023533239473,0.03062141584596345,0.0304794555054837,0.03112612763868361,0.0005111500525085688,0.0005117057632180178,0.0005212074556588675,0.0005136200598752083,0.0005131109017075808,0.0005214786125717907,0.0005201875795792787,0.000511664246547916,0.00051676872181039,0.0005150457880906956,0.000807905584962576,0.0008078843742467257,0.000807823603188762,0.0008078456346742868,0.0008078617756344109,0.0008078517170768684,0.0008078305025263077,0.0008078837368055147,0.0008078350385245514,0.0008078345391036024,1.0073981397518139e-05,1.0089196640805653e-05,1.0093099764407754e-05,1.0090538629103918e-05,1.0079515421423935e-05,1.0076140484205354e-05,1.0088971585719975e-05,1.0080861289285536e-05,1.0096532646830525e-05,1.0090728340905741e-05,1.0754403121793699,1.9968702682658641,1.7332458732711222,1.2909839560436258,0.39930482494323716,0.327887433426056,0.7389037891792318,0.3513402256751057,1.5021970732357373,0.6939064012004104
30.0,3.919651104445963,6.66625892569536,6.079233551589645,6.20489426663401,4.974130548438829,4.043419650307158,4.169070998225393,3.945117099085312,4.249571356438743,5.092885467271933,0.18113645336235829,0.4100469422829156,0.8978510423850095,0.3806303609760553,0.130446187804083,0.33786410286229973,0.4465200097539346,0.13901552943838436,0.44357694877186216,0.2439987282150935,0.04843764593840216,0.04898165523848297,0.05217636239139001,0.05251383531768816,0.05032588970686103,0.04966432755971706,0.049455409194837596,0.049143023665714214,0.049098407673122235,0.05056362478763843,0.0009989028009549372,0.0010006886041082907,0.001027607773941508,0.0010062183438144245,0.0010047014688128186,0.0010282433730428586,0.0010246657029706618,0.0010004833469250407,0.00101495355182335,0.0010102554000437358,0.0016961566699311703,0.001696040759534334,0.0016958504488546744,0.0016959167009202858,0.0016959925409389953,0.0016959605775830333,0.0016958919340015477,0.0016960571034312366,0.0016958824059627453,0.001695887176884625,2.5582259534751017e-05,2.558385548434572e-05,2.559153224535038e-05,2.559188014750191e-05,2.5592305213706368e-05,2.5591813594516566e-05,2.5589503701350935e-05,2.558575138422725e-05,2.558772485805605e-05,2.559300869631187e-05,0.9639020057524075,1.908695314839731,1.6199583538391567,1.1583840219269734,0.3243210575454252,0.28335691196326573,0.6326422838928649,0.2992003342603735,1.3719666310012988,0.5806178673761928
40.0,3.466986400260738,6.315088480201089,5.660945216132843,5.876982594578527,4.656070904859408,3.838072613410608,3.686924603842014,3.7070041960039744,3.728738767341552,4.656278907603452,0.3003593528268933,0.7325482905845337,1.6404860376987318,0.6773644789007838,0.2114464947074146,0.5716739811511284,0.7849156169022509,0.22252672077524238,0.7989188072524822,0.41839710158773746,0.0944823069104439,0.09732702472284682,0.11135045872243232,0.11174133248656837,0.10208591249462629,0.10005728612004283,0.09991758859948607,0.09742319240729103,0.09870873898366872,0.10384654601846588,0.0026706197542214483,0.0026794520511952413,0.0028148035099961888,0.002708559804299071,0.0026988436648860414,0.0028146268635986793,0.0027976768680635367,0.002676666856176624,0.0027509288531044618,0.0027268546794978477,0.004860717480159593,0.0048601551313942615,0.0048589165973464965,0.004859451965319561,0.004859856600553325,0.004859578817766774,0.004859054604384738,0.004860249224639013,0.004859085693421861,0.00485923784902198,9.627903221698375e-05,9.629950958567335e-05,9.635307940447646e-05,9.635581899969381e-05,9.63500059243394e-05,9.634442710648727e-05,9.633318178225991e-05,9.630582237996066e-05,9.632490422006867e-05,9.635975401423025e-05,0.7673815776800073,1.7037129865605918,1.4032015999346479,0.9221231392640692,0.19932050183816985,0.2025698627861936,0.45153429660845745,0.20584076237100746,1.1379484292130515,0.3897554754098769
55.0,2.957901990530418,5.744613786141198,4.951666899651188,5.247172920060752,4.470903024786998,3.740200959176779,3.1980154807650827,3.6082887497611997,3.1924010072052034,4.283871749123394,0.47477124095852474,1.267164027556884,2.826740276507649,1.1659335663770531,0.3298364842905954,0.9051229894987589,1.3136122564040242,0.33466678309475917,1.391299550521261,0.693131211555964,0.18176485910246276,0.19549201981472386,0.26233539000787864,0.2595013148979901,0.21369543207171393,0.2075197573679355,0.2092121965640823,0.19410497188139875,0.20457115699865502,0.224009670954616,0.005799208062202688,0.005956389667550077,0.006670444156982924,0.006110583909284983,0.005978991823760715,0.0065442338928671795,0.006584160447781429,0.005867189204510126,0.0063479445494238895,0.006196792537572993,0.015864588172529892,0.01622530642839637,0.01622300820762934,0.01645816593173066,0.016279795122197793,0.01618508371308014,0.01594792190374683,0.016359756398239167,0.01627172681995326,0.016526437661800397,0.0003303651164001664,0.00032791772852514,0.00032786032677734056,0.0003265999594459501,0.00032793269258979407,0.00032838613359142954,0.0003294976040209008,0.000327415236951456,0.000327386044928879,0.000326290516329486,0.5321709168093012,1.3932243587260844,1.1205699884094766,0.6346199157967138,0.07408372107672578,0.11141811725612172,0.2521333875672256,0.09986082129750651,0.8545986846632756,0.18418131839933105
65.0,2.711801279456086,5.403740662874476,4.526323441085012,4.861318609079393,4.4979462085422295,3.763194113299962,2.9850023667657357,3.657456206183896,2.957340878006825,4.193784504542952,0.5775584943840162,1.6185424265169224,3.541066606948029,1.484088103390362,0.4031988435152045,1.0846314271466984,1.633794582674386,0.39462621327509995,1.778203909287992,0.8685544447283977,0.24860619140736162,0.27776164239966405,0.42496441695134335,0.4135417999172426,0.31350529864336574,0.3034209275357531,0.3088120561836205,0.2733950955955802,0.29941841686616266,0.3372465404770022,0.012126066040633265,0.01227536061172696,0.01424876958402832,0.012668051961548521,0.012489651371311972,0.014160504050702016,0.013965977986249545,0.01219945969272107,0.013320519202320469,0.012908411552295274,0.021530307318541553,0.021523701070802925,0.02149725277066672,0.02151559638140732,0.021525739335560345,0.021515152377288516,0.021495449774185715,0.02153231437700276,0.021499252520218892,0.02151268334300882,0.0006354486783526347,0.0006355549983285691,0.0006364187743765903,0.0006359453213748978,0.0006362280878979831,0.0006368611660123591,0.0006365509765418054,0.0006358091367513197,0.0006359842860810261,0.0006362955723480113,0.4105930289074555,1.2050295954795498,0.9637524612226471,0.4832061500993605,0.028735638698569765,0.07207533755039597,0.16165117800619644,0.052487953800545384,0.7076557944542907,0.09427754685162704
