Ecms,phase_sing_20,phase_trip_20,delta_plus20,delta_minus20,epsi_p20,phase_sing_21,phase_trip_21,delta_plus21,delta_minus21,epsi_p21,phase_sing_22,phase_trip_22,delta_plus22,delta_minus22,epsi_p22,phase_sing_23,phase_trip_23,delta_plus23,delta_minus23,epsi_p23,phase_sing_24,phase_trip_24,delta_plus24,delta_minus24,epsi_p24,phase_sing_25,phase_trip_25,delta_plus25,delta_minus25,epsi_p25,phase_sing_26,phase_trip_26,delta_plus26,delta_minus26,epsi_p26
0.001,-3.327017626526648e-07,0.0006367960893439469,-1.9419636063130714e-11,-0.026580418584804873,-2.0963470618055138e-07,3.9883626808399845e-12,2.659585646378455e-08,9.497693728582754e-17,3.23285909504772e-08,-4.589796354223127e-12,-8.29473626188752e-16,4.355549434157765e-14,-9.721189613289803e-21,3.6941184711945726e-13,9.513501422641222e-16,6.6106441889737234e-21,-2.09289933012312e-18,4.5643690661576585e-26,-1.996786975476291e-18,-7.74317271148517e-21,-7.05843223923704e-25,-5.757359504333246e-22,-4.474945319099196e-30,-5.6076149469051425e-22,8.373348742408201e-25,3.6632470924670835e-30,4.179053967512524e-27,1.8074152357422236e-35,4.235831688540096e-27,-4.1942165216903174e-30,0.11533023303750747,2.949386787444205e-07,0.0,0.0,0.0
0.05,-0.00011640876322108082,0.004383808908302624,-3.383006498557108e-07,-0.18683680017535395,-7.271594595166496e-05,6.966820702814133e-08,9.427284431343088e-06,5.831188735020011e-11,1.1453084693408062e-05,-8.01681424842306e-08,-4.878654209338042e-10,6.233597839447272e-10,-3.4151631537957695e-13,6.3645731535164985e-09,5.698323620163067e-10,2.88461711454747e-13,6.57116818964771e-13,9.94604090914762e-17,8.068874685943602e-13,-3.3823202903182277e-13,-1.5328420623502723e-15,-2.53433055238094e-14,-4.862017402562515e-19,-2.4738767869273374e-14,1.818810103936061e-15,3.9664272973972606e-19,9.181021307411013e-18,9.766748251921123e-23,9.217530733664432e-18,-4.54493061509509e-19,0.6684068608387643,0.00010369014874950771,0.0,0.0,0.0
1.0,-0.008638466488359331,0.010707000400228822,-0.0004684386127475078,-0.7585461414966019,-0.004712006244880993,0.00010017882837701279,0.0008756461307869163,1.6316407190496266e-06,0.0010544150019830762,-0.00011572198305867301,-1.25583338580603e-05,-2.7589189104028092e-06,-1.633884766380492e-07,6.851007896407747e-06,1.4762142027296311e-05,1.1093401820631939e-07,4.6847255880656695e-08,9.67742831027634e-10,5.2590567994709616e-08,-1.2575263239627056e-07,-1.757792679119117e-08,-5.513358619205629e-09,-1.2924319720184167e-10,-5.132153453991958e-09,1.982820310743586e-08,1.1271592685577545e-10,3.7810509729732416e-11,3.693912444898567e-13,3.800676629429101e-11,-1.2528268957378112e-10,1.1238150834226772,0.008349245351080756,0.0,0.0,0.0
2.0,-0.020637500257109264,0.004980703973942169,-0.0021169138900352167,-0.9938791541894214,-0.010155351359473269,0.0004624706622491724,0.002532209354451242,1.4543573992367957e-05,0.003030923701489657,-0.000534784805120538,-0.0001036242580986621,-2.8693166679530547e-05,-2.624447548205322e-06,2.3776794922214788e-05,0.00012316307208516043,1.7852491283788378e-06,6.577103497642694e-07,3.0924977955567583e-08,7.249395393693953e-07,-2.0352186950026687e-06,-5.302188743806347e-07,-1.3504591833267925e-07,-7.871835003846219e-09,-1.2710322438167126e-07,5.991909390176495e-07,6.8920496694759906e-09,1.6774495419905922e-09,7.141761536028357e-11,1.6853426296510926e-09,-7.664778318075132e-09,1.1203310163853846,0.021303993957647465,0.0,0.0,0.0
5.0,-0.05483881852320817,-0.023769263444100307,-0.012401358428657083,-1.3462762978394913,-0.022032298642666467,0.0027896602372293315,0.010148743366119527,0.00019481086040102624,0.012039702913455807,-0.003200425830002446,-0.0011645962264004168,-0.00039364524694415477,-6.762172890674781e-05,7.64809963485908e-05,0.0014299352402849914,4.5447649575698976e-05,1.756309055619694e-05,1.8786383218617922e-06,1.8551439824409344e-05,-5.266618583363909e-05,-2.7179065875236e-05,-6.7249668692593284e-06,-9.999121316449258e-07,-6.338712307921275e-06,3.103155984177046e-05,8.816111734201454e-07,1.8526175264183237e-07,2.3339509476104545e-08,1.8616925978594243e-07,-9.85100192538089e-07,1.0455375818604473,0.06390986824683835,0.0,0.0,0.0
8.0,-0.08236826574667395,-0.054012587887862215,-0.027059623862417805,-1.5385486360558513,-0.029056437229601512,0.006196615856042678,0.020126016651810134,0.000614158905571573,0.023785931952962518,-0.006965073033446607,-0.0032515913851909367,-0.0012093799170722105,-0.0002820642367000044,0.00018169520871855186,0.004109413009195066,0.0001836759842627143,7.666511304955125e-05,1.1482336624456663e-05,8.197357939253529e-05,-0.00021632203589942823,-0.00014350467773939507,-3.836297822767931e-05,-8.048285912671873e-06,-3.5797512625856934e-05,0.00016628320329648008,7.071094423853731e-06,1.566740925670739e-06,2.9497917496132123e-07,1.5761287961181614e-06,-7.970325410139457e-06,0.9752741248216348,0.1014984783556924,0.0,0.0,0.0
11.0,-0.10452489211021218,-0.0821045961918137,-0.04354594094583864,1.4687926202209116,0.033530829149952736,0.010157577347047168,0.031372902745317746,0.0012317123593414685,0.0369936486141295,-0.011082193116614928,-0.005949668737419931,-0.0023646569136243378,-0.0006754265297227888,0.0004689743779105279,0.007712313244731387,0.0004225038431512187,0.00019260976168347123,3.44637063976817e-05,0.00020674151249124086,-0.0005043767312444433,-0.0003836531294278257,-0.000110134675608454,-2.7933290152107315e-05,-0.000101399967492593,0.0004514250074099023,2.420658608050715e-05,5.758125261806945e-06,1.337706732649028e-06,5.801232161643888e-06,-2.757482288655134e-05,0.9146166198584404,0.1313244813249691,0.0,0.0,0.0
14.0,-0.12285778464872014,-0.10771334158201191,-0.06070785750130494,1.3645816620662243,0.03659578604835591,0.01445775788782008,0.04328034293227199,0.0019937177747452284,0.05094643467879978,-0.01520848988182565,-0.00894723940841239,-0.003741919972143413,-0.0012458132535885747,0.001038820252237704,0.011863598818877429,0.000746655427268255,0.0003699230772992909,7.394485265815997e-05,0.0003987571312957663,-0.000901276519163807,-0.0007495598597019738,-0.00022860640396007444,-6.600706500730478e-05,-0.00020734761532137128,0.0008945866734578296,5.6068545828329786e-05,1.4229746823249254e-05,3.7811409326687295e-06,1.436092876234538e-05,-6.454345612175227e-05,0.8612784765983189,0.15382906225714782,0.0,0.0,0.0
17.0,-0.13844282756126722,-0.13101828596682216,-0.07799468583737922,1.2787761630682983,0.03881770803531476,0.019006489906839633,0.05546447002718481,0.0028560722693312924,0.065180863994826,-0.019182930956121575,-0.01205520488321454,-0.005252526971349204,-0.001980607583115504,0.0019526051601979346,0.01631573589893984,0.0011374807649629018,0.0006091385158054759,0.00013099042803550398,0.0006592985023237914,-0.0013854337606020483,-0.0012269093154722588,-0.0003944232295115773,-0.00012564768884012058,-0.00035233559047788377,0.0014838305012638837,0.0001042912366710725,2.8050676139614987e-05,8.213884026547226e-06,2.8363296886924142e-05,-0.00012122469904697825,0.8134999260218795,0.17008330666373955,0.0,0.0,0.0
20.0,-0.15200485498588232,-0.15226840804954822,-0.09513548159660129,1.2054341830510198,0.04049941139571464,0.02376229818653402,0.06766716952174084,0.003785983380059815,0.07938922030464197,-0.022929504552576453,-0.015163554189516374,-0.0068346386487019095,-0.0028645168232861264,0.003243717107247325,0.020911519685395105,0.0015776386640293577,0.0009089129133940029,0.00020542615963480663,0.0009877183624218218,-0.0019366686105001022,-0.001797238191914951,-0.0006063288670226126,-0.000208481974255963,-0.00053225047443993,0.0021999925623776236,0.00016888471380884873,4.791755928276869e-05,1.5107808461910808e-05,4.853251157848714e-05,-0.00019806212128759473,0.7700843119747763,0.18117802761208635,0.0,0.0,0.0
