Ecms,Cross_sig20_0,Cross_sig20_1,Cross_sig20_2,Cross_sig20_3,Cross_sig20_4,Cross_sig20_5,Cross_sig20_6,Cross_sig20_7,Cross_sig20_8,Cross_sig20_9,Cross_sig20_10,Cross_sig21_0,Cross_sig21_1,Cross_sig21_2,Cross_sig21_3,Cross_sig21_4,Cross_sig21_5,Cross_sig21_6,Cross_sig21_7,Cross_sig21_8,Cross_sig21_9,Cross_sig21_10,Cross_sig22_0,Cross_sig22_1,Cross_sig22_2,Cross_sig22_3,Cross_sig22_4,Cross_sig22_5,Cross_sig22_6,Cross_sig22_7,Cross_sig22_8,Cross_sig22_9,Cross_sig22_10,Cross_sig23_0,Cross_sig23_1,Cross_sig23_2,Cross_sig23_3,Cross_sig23_4,Cross_sig23_5,Cross_sig23_6,Cross_sig23_7,Cross_sig23_8,Cross_sig23_9,Cross_sig23_10,Cross_sig24_0,Cross_sig24_1,Cross_sig24_2,Cross_sig24_3,Cross_sig24_4,Cross_sig24_5,Cross_sig24_6,Cross_sig24_7,Cross_sig24_8,Cross_sig24_9,Cross_sig24_10,Cross_sig25_0,Cross_sig25_1,Cross_sig25_2,Cross_sig25_3,Cross_sig25_4,Cross_sig25_5,Cross_sig25_6,Cross_sig25_7,Cross_sig25_8,Cross_sig25_9,Cross_sig25_10,Cross_sig26_0,Cross_sig26_1,Cross_sig26_2,Cross_sig26_3,Cross_sig26_4,Cross_sig26_5,Cross_sig26_6,Cross_sig26_7,Cross_sig26_8,Cross_sig26_9,Cross_sig26_10
0.001,0.004240546726411942,0.04771325101957835,0.0016309742018152384,0.0011863244234806558,0.0009952415663234682,0.006339647144697924,0.08286530189649977,0.01232885105626469,0.049739437382147145,0.009369458139371734,0.003836901188844166,1.7763568394002505e-14,1.1102230246251565e-14,2.220446049250313e-14,4.440892098500626e-14,2.220446049250313e-14,6.661338147750939e-15,1.9984014443252818e-14,2.6645352591003757e-14,6.661338147750939e-15,2.220446049250313e-14,1.3322676295501878e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02648438876816117,0.3607645336545442,0.0007160606619907028,0.0018977904836550152,0.011161685002114119,0.0010040327024154472,0.0003402381761987705,0.006513025111945847,0.00048079537137546424,0.0038971809887766717,0.008550526326351005
0.05,0.20713757581693581,1.7731177103988354,0.08092324228089165,0.05899593953623228,0.04954701593041877,0.305719582764441,2.5689774139289594,0.5713166158531218,1.8324991793443566,0.44268887962065184,0.1879531983441285,2.2006441113830988e-09,1.326867504758411e-09,2.782269969969775e-09,5.623121968056921e-09,2.5867885611319252e-09,9.36815069962904e-10,2.5720559015951494e-09,3.1555247304027034e-09,1.0360579061341468e-09,2.9489966024698333e-09,1.7463852586274697e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7681465874413718,1.7893322277428436,0.03541233133881683,0.09174471358026004,0.4517737321906363,0.04797617998330672,0.01661524191988306,0.271242398023559,0.023358882781292056,0.18114796913402031,0.34002069490712605
1.0,2.8402425318811733,5.786802701605595,1.4095806053442939,1.0680130691137935,0.9145870491732468,3.5785980262692547,5.958978307184824,4.63784746254034,5.8335161939857105,4.219377805401343,2.678353087090773,1.9153723076481555e-05,1.188826342479743e-05,2.3998143370285163e-05,4.750136275433192e-05,2.2379921731374708e-05,8.609887716115594e-06,2.219449582563371e-05,2.7054628501943512e-05,9.445870574609216e-06,2.5399071925669148e-05,1.538012581736581e-05,9.073704898554524e-09,8.866521294947916e-09,8.993263023171494e-09,9.324207184135958e-09,9.334058415078061e-09,9.11097730593724e-09,9.065075357028718e-09,9.085427521426936e-09,8.974831988695087e-09,9.057294469982935e-09,9.170529224888924e-09,8.79296635503124e-13,8.713030297258229e-13,8.752998326144734e-13,8.952838470577262e-13,8.752998326144734e-13,8.752998326144734e-13,8.872902412804251e-13,8.832934383917745e-13,8.752998326144734e-13,8.832934383917745e-13,8.832934383917745e-13,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.626467373401081,1.877153030008408,0.5828541330210175,1.107200099523772,1.8771741514920874,0.504779871451011,0.2261059109558352,1.2418864582337608,0.29687035311136656,1.508653431112343,1.323015433450328
2.0,4.21805247654392,5.999546248232779,2.4806696760978713,1.9400811137766776,1.6911259424053822,4.904387359857578,5.995525176005428,5.583627720278637,6.009603948276691,5.337284522651123,4.0666571936297355,0.00016384488995102586,0.00010434436296558047,0.00020368203558440712,0.0003962244662547576,0.0001904611587666416,7.738489087305567e-05,0.000188385891417564,0.00022839508113436935,8.42257701227922e-05,0.0002152585560644127,0.00013299453578863307,5.945987382460771e-07,5.922572010597094e-07,5.930851241231494e-07,5.986377273892174e-07,5.998646579463696e-07,5.963581077850222e-07,5.947179477772124e-07,5.939461353854369e-07,5.937120746146718e-07,5.929331590159848e-07,5.962226432565387e-07,2.2356916318244657e-10,2.2125901111280655e-10,2.223941031331833e-10,2.2598323212719151e-10,2.233973006582346e-10,2.2330937099468429e-10,2.2531576604478687e-10,2.2500401541947213e-10,2.2243806796495846e-10,2.2355717277378062e-10,2.2404877952908464e-10,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2734703009064106e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6217883018707857,1.822468415877208,0.9777533484617029,1.543201819707284,1.9929027565572186,0.6540418935987615,0.3324626332932654,1.3273340855818612,0.41954409053357544,1.834134713342256,1.3810209663445798
5.0,5.725216391959943,5.799401005845657,4.519247175525122,3.7667426673551505,3.4210253129159462,6.027893517340621,5.660071920504456,6.0174221314323555,5.738906870640662,6.0206899449532845,5.683556217663761,0.0027624644270018983,0.001818378197633308,0.0034072025854592347,0.006512313269437797,0.0031975287976604427,0.0013922829509360746,0.0031359863407365296,0.003787040062539493,0.0014973938074991366,0.003596718432703483,0.0022756221436814883,7.85544013259809e-05,7.871838310080648e-05,7.850898344585744e-05,7.859166588719546e-05,7.878867387489663e-05,7.876574088694355e-05,7.859507845120461e-05,7.83993174540143e-05,7.866713448567708e-05,7.829227154765306e-05,7.857528785359946e-05,1.4883995635983638e-07,1.4860166297481214e-07,1.4881645116204822e-07,1.4918356949777944e-07,1.4877415299707764e-07,1.4877536003155e-07,1.48881714956417e-07,1.4918399715568853e-07,1.4873071974008667e-07,1.4895772615375336e-07,1.4890261024191886e-07,6.052056100713799e-08,6.05144840903904e-08,6.052168943782021e-08,6.0530399359493e-08,6.052712642201641e-08,6.051193413014744e-08,6.051912482263333e-08,6.052251011468002e-08,6.050862699780168e-08,6.052233914033422e-08,6.051991130462397e-08,7.248202038567797e-11,7.245892774676577e-11,7.248202038567797e-11,7.249356670513407e-11,7.248202038567797e-11,7.246470090649382e-11,7.247047406622187e-11,7.249356670513407e-11,7.247047406622187e-11,7.249933986486212e-11,7.248202038567797e-11,1.5052799251944062,1.6757772952945258,1.616142871697047,1.9500136495321274,1.9445794875074345,0.7313841157925873,0.4386253617102871,1.2824367283869007,0.5214101151345503,2.007143546336344,1.30202863816828
8.0,6.056261768704395,5.492499947254682,5.608115334500267,4.853825854984757,4.538209262254901,6.140911601652512,5.3239306782853575,5.84604361318925,5.390235874094401,5.931162056290247,6.080363207330045,0.011064146317991685,0.0072899795353276176,0.013704839625949816,0.02643193913793418,0.012862618046234342,0.005605086790203551,0.01249797992541879,0.015181114865214784,0.006008017780847474,0.014490087002096974,0.009125810934231815,0.0006429044787270577,0.0006444993403658117,0.0006424789125292207,0.0006433037602304736,0.0006452958538192277,0.0006450119422667377,0.0006432784633667588,0.0006413115333594455,0.0006440509654224158,0.0006402965099017166,0.0006431461060358856,2.5210238256967443e-06,2.518425028519289e-06,2.514870204084474e-06,2.525131787667334e-06,2.516992334555823e-06,2.5203005162843795e-06,2.528220956588001e-06,2.528739913465472e-06,2.5163172145958868e-06,2.523640532547944e-06,2.52066698314124e-06,1.7315844926812929e-06,1.7313490268122678e-06,1.7316227909347504e-06,1.7319701375306806e-06,1.7318368557006636e-06,1.7312537941016615e-06,1.731536776183873e-06,1.7316659155497405e-06,1.731122690973308e-06,1.731656546155591e-06,1.7315583580312932e-06,4.734031389119764e-09,4.732605418666935e-09,4.734418190821543e-09,4.7354631327323204e-09,4.734464376099368e-09,4.732928715611706e-09,4.733211600438381e-09,4.734978187315164e-09,4.732934488771434e-09,4.735595915406066e-09,4.734481695578552e-09,1.3912233035306767,1.5555141794859404,1.8922628538266815,2.02125178898006,1.8339239025113314,0.6975690356407664,0.45307446420061304,1.1898158370336795,0.5219678504411118,1.9696547152473438,1.1912212097275727
11.0,6.054943733473088,5.206024741864411,6.217766541479103,5.510527866490282,5.264698586895603,6.028936951528067,5.039832236821873,5.58589505718136,5.081200968708058,5.701260181240345,6.113625456085051,0.027018508369349714,0.017619297856601435,0.03376369447864125,0.06631333323661392,0.03165253994015238,0.013480001515739914,0.030442666915602157,0.03733412960492011,0.014435097992182566,0.035792691083420536,0.02221038014341703,0.0022487157588235718,0.0022528494648508257,0.0022460071423218153,0.0022539049504382014,0.002262431146287547,0.0022580321783718382,0.002250029426522193,0.0022420268846321534,0.002252397065839684,0.002237620152186981,0.002251142941735118,1.3829998634307117e-05,1.3809076638171547e-05,1.3785551524314599e-05,1.3862409788067964e-05,1.3801317241046718e-05,1.3823285664127383e-05,1.3883375353351823e-05,1.3886233770854517e-05,1.3794940162181746e-05,1.3848808116279088e-05,1.3827280284761656e-05,1.2714199109531421e-05,1.2711940963416879e-05,1.2714527267920772e-05,1.2717949807949935e-05,1.2716611489160812e-05,1.2711033480439227e-05,1.2713805888076024e-05,1.2715026166176813e-05,1.2709750591533009e-05,1.2714911178601795e-05,1.2713932252772508e-05,5.6557694527725744e-08,5.653569878916187e-08,5.65637159333221e-08,5.658005974851221e-08,5.656436252721164e-08,5.654061752125017e-08,5.65450282152824e-08,5.657254309454629e-08,5.6540629067569625e-08,5.6581947571743285e-08,5.656469159731614e-08,1.2898640951969749,1.4523827339262056,2.0186921886120137,2.0089443878812383,1.7248844834670138,0.6452367256502205,0.4428502623084567,1.0987125454566868,0.499682321152052,1.8952159812052995,1.0872433118707088
14.0,5.930599325041843,4.947655131836006,6.556610631396642,5.899153679714143,5.730750456542735,5.8528369437347845,4.801604202556582,5.317842525711301,4.815847070525508,5.4422077870164545,6.008933880810205,0.05139631732112626,0.03303624688225648,0.06490796561378742,0.1301648122011212,0.060753192229019426,0.02505633611139091,0.05779460011218429,0.07167706083343939,0.026830763816829695,0.06902948990685331,0.04203741495718116,0.005294225000201713,0.005295586265233965,0.00528296489782587,0.005322414083833937,0.0053463058818175035,0.005321695660426062,0.005297202829722014,0.0052760091814270105,0.005299830257936566,0.005262922238876033,0.005306217747995223,4.470166841485934e-05,4.460232442982104e-05,4.451364857915863e-05,4.485073873095047e-05,4.458345776159334e-05,4.4666632808443296e-05,4.4933660296564426e-05,4.493995194376765e-05,4.4549880388711216e-05,4.4781025967388643e-05,4.469041239474336e-05,4.976514624077666e-05,4.9776769101228524e-05,4.9778199189276506e-05,4.9770650593750076e-05,4.9766643629212126e-05,4.974862394924173e-05,4.975962697884029e-05,4.97648085713287e-05,4.9754323071304896e-05,4.9767001615297346e-05,4.975764220116474e-05,3.093580027702103e-07,3.092103311175265e-07,3.0939989859035677e-07,3.095112512951914e-07,3.0940303918924883e-07,3.092420661765516e-07,3.092716016617203e-07,3.09460205016876e-07,3.09241102058877e-07,3.095230862726339e-07,3.0940514061938984e-07,1.1981333893344845,1.3603364920973906,2.0699349790035084,1.965796832290101,1.6222957306232493,0.5897425988060454,0.4231881957743404,1.0129141032803073,0.47029451096756514,1.8112816568954186,0.9915287833350455
17.0,5.757210797328252,4.714713977179829,6.7314901534916896,6.113211928117372,6.017987685314729,5.663073685477065,4.601395177891736,5.062370640567705,4.589397039988622,5.185499827441423,5.848714490910248,0.08417730486181219,0.053251462389687365,0.1075099282831804,0.22009233428509578,0.10045748797889775,0.03998872100530848,0.09445574430169801,0.11853520640925153,0.042819945649561486,0.11471663883884542,0.06847396774270598,0.009981972001902761,0.009959747049438139,0.009947815295785034,0.010079605744508946,0.01013170653837836,0.01004583930340397,0.009987007914236123,0.009943476134393947,0.009982332178405606,0.009912550667631415,0.010021400899246302,0.00010720152265486504,0.0001068523785052733,0.00010661707944903398,0.00010769900046181391,0.00010685040372493404,0.00010707351210070826,0.00010794089733234813,0.00010793254059704438,0.00010672678149648007,0.00010744790423400374,0.0001071728438355457,0.00013649505613466673,0.0001365288437673584,0.00013653537959879003,0.00013650534176079532,0.0001365010040537129,0.0001364492774751369,0.00013647261385640874,0.00013648997118176354,0.0001364662359368829,0.00013649857062469906,0.00013647632802982201,1.0900800817559286e-06,1.08951154675907e-06,1.090265931313894e-06,1.0907047491848232e-06,1.0902571099258296e-06,1.089610065729829e-06,1.0897246918162296e-06,1.0905021805562853e-06,1.089602785775412e-06,1.0907480074706655e-06,1.0902616072172577e-06,1.1134748512587977,1.2758845282047608,2.0784942872702334,1.908877348576938,1.52565785465841,0.5349238095361919,0.3991695387467926,0.9322368585391567,0.4383629614481248,1.7252921080554224,0.9028567928869231
20.0,5.566160336675214,4.503533555083156,6.802648033990602,6.210137325122394,6.179862837015072,5.478748737657028,4.432852623330625,4.825131307733473,4.396621479281695,4.941677738373061,5.668782415669738,0.12484991675025592,0.07771682190154117,0.16128438579474214,0.336579470484073,0.15045316574852752,0.05776004015604741,0.1397289492809617,0.17747140934770478,0.06183738565053609,0.17267613186378927,0.10101630512122206,0.0163770610148517,0.016284110044077593,0.016293328504014326,0.01663682603438499,0.016732806924065535,0.016504065200353413,0.016383724010947454,0.01630837684078079,0.0163528321442592,0.016245520300866012,0.016478163787305267,0.00021301748119828545,0.0002118926990988257,0.0002116497994144595,0.00021454703502588046,0.0002123030365548395,0.00021235917466899679,0.00021504176385178653,0.00021466378978773903,0.00021180933019504522,0.0002138112324949759,0.00021290966585763016,0.000299296717416464,0.000299360115695535,0.0002994476585955752,0.00029934891882499315,0.00029934182130864073,0.00029916296123033703,0.00029919330554228907,0.0002992865459034988,0.0002992195625415306,0.00029932778050945075,0.0002992547803795098,2.908322126238261e-06,2.905948716769302e-06,2.9089126973858015e-06,2.9107379049264637e-06,2.90903521538155e-06,2.9065422668672625e-06,2.90700489902207e-06,2.9099250555830736e-06,2.90648394063453e-06,2.9108935839516903e-06,2.909089887204175e-06,1.0343128360383447,1.1970550748037034,2.0608414490308187,1.845268414201013,1.4340616664042147,0.48200508443517176,0.37303236739623724,0.8561923056800502,0.4056089981094382,1.6399403061122495,0.8201638261660267
